Sample	QualiMap_mqc-generalstats-qualimap-mean_coverage	QualiMap_mqc-generalstats-qualimap-percentage_aligned	QualiMap_mqc-generalstats-qualimap-mapped_reads	QualiMap_mqc-generalstats-qualimap-total_reads	QualiMap_mqc-generalstats-qualimap-general_error_rate	Bowtie 2 / HiSAT2_mqc-generalstats-bowtie_2_hisat2-overall_alignment_rate	Trimmomatic_mqc-generalstats-trimmomatic-dropped_pct	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	QualiMap_mqc-generalstats-qualimap-avg_gc	QualiMap_mqc-generalstats-qualimap-median_insert_size	QualiMap_mqc-generalstats-qualimap-1_x_pc	QualiMap_mqc-generalstats-qualimap-5_x_pc	QualiMap_mqc-generalstats-qualimap-10_x_pc	QualiMap_mqc-generalstats-qualimap-30_x_pc	QualiMap_mqc-generalstats-qualimap-50_x_pc	QualiMap_mqc-generalstats-qualimap-median_coverage
SRR12223729_bamqc_results													49.19551900954355	471	94.63842325510699	88.43854219984225	81.93962046597383	40.232378341442704	6.578918253075685	26
SRR12223730_SRP271933_Undaria_pinnatifida_individual_18_2017-01-09_INTRO_NZ_Well2017_4_New_Zealand	25.3907	93.52294643032563	165748075.0	177227174.0	1.68	93.52														
SRR12223730_SRP271933_Undaria_pinnatifida_individual_18_2017-01-09_INTRO_NZ_Well2017_4_New_Zealand_1							5.56	21.750280647482583	48.0	101.0	0.0	117172564.0								
SRR12223730_SRP271933_Undaria_pinnatifida_individual_18_2017-01-09_INTRO_NZ_Well2017_4_New_Zealand_2								19.85093181928893	48.0	101.0	0.0	117172564.0								
SRR12223730_bamqc_results													48.628665343143396	488	94.25243225694771	86.8553518391393	79.02859070023972	33.49526266697613	5.014052830718454	23
SRR12223731_SRP271933_Undaria_pinnatifida_individual_17_2017-01-09_INTRO_NZ_Well2017_3_New_Zealand	23.5067	93.59962081776455	152639697.0	163077260.0	1.69	93.6														
SRR12223731_SRP271933_Undaria_pinnatifida_individual_17_2017-01-09_INTRO_NZ_Well2017_3_New_Zealand_1							5.03	19.221187619655524	48.0	101.0	0.0	105680022.0								
SRR12223731_SRP271933_Undaria_pinnatifida_individual_17_2017-01-09_INTRO_NZ_Well2017_3_New_Zealand_2								19.522441085658755	48.0	101.0	0.0	105680022.0								
SRR12223731_bamqc_results													48.37615719522379	461	93.88121451898229	86.01668727069173	77.32470679243704	25.9600877327068	3.265526391442094	21
SRR12223732_SRP271933_Undaria_pinnatifida_individual_16_2017-01-09_INTRO_NZ_Well2017_2_New_Zealand	19.5882	91.95313789212662	126234167.0	137280978.0	1.73	91.95														
SRR12223732_SRP271933_Undaria_pinnatifida_individual_16_2017-01-09_INTRO_NZ_Well2017_2_New_Zealand_1							2.68	25.94785226927243	48.0	101.0	9.090909090909092	81641741.0								
SRR12223732_SRP271933_Undaria_pinnatifida_individual_16_2017-01-09_INTRO_NZ_Well2017_2_New_Zealand_2								24.277728130249017	48.0	101.0	0.0	81641741.0								
SRR12223732_bamqc_results													48.69730144390474	471	93.41928991213767	84.92288812204839	74.05113101265745	14.569469796354541	1.8311913266988873	18
SRR12223733_SRP271933_Undaria_pinnatifida_individual_15_2017-01-09_INTRO_NZ_Well2017_1_New_Zealand	21.8203	93.3145386796292	142470930.0	152678170.0	1.69	93.31														
SRR12223733_SRP271933_Undaria_pinnatifida_individual_15_2017-01-09_INTRO_NZ_Well2017_1_New_Zealand_1							6.06	18.231549991341225	48.0	101.0	0.0	104447851.0								
SRR12223733_SRP271933_Undaria_pinnatifida_individual_15_2017-01-09_INTRO_NZ_Well2017_1_New_Zealand_2								17.718854716318376	48.0	101.0	0.0	104447851.0								
SRR12223733_bamqc_results													48.317731058306244	458	93.86420501115232	85.46868667141518	75.67946457845915	21.106429330306288	2.674201055105761	19
SRR12223734_SRP271933_Undaria_pinnatifida_individual_14_1987-08-14_INTRO_NZ_Well1987_2_New_Zealand	32.679	90.93857204664435	210891221.0	231905138.0	1.39	90.94														
